institution,year,total_all,total_4_year,total_2_year,tuition_all,tuition_4_year,tuition_2_year,dorms_all,dorms_4_year,dorms_2_year,board_all,board_4_year,board_2_year
all,1963,11411,11760,7091,4648,5053,1566,2582,2548,1912,4182,4160,3612
all,1968,11533,12219,8326,4715,5403,1980,2849,2848,2585,3970,3968,3761
all,1969,11647,12501,8133,4817,5637,1847,2906,2926,2590,3925,3939,3696
all,1970,11733,12668,7954,4885,5777,1771,2973,2995,2623,3875,3895,3560
all,1971,11860,12868,8031,4961,5931,1719,3049,3073,2679,3850,3864,3632
all,1972,12085,13379,8406,5003,6261,1890,3214,3244,2733,3868,3874,3783
all,1973,11511,12686,8217,4813,5956,1987,2997,3024,2599,3702,3707,3631
all,1974,10799,11907,7795,4407,5489,1784,2875,2901,2506,3516,3517,3505
all,1975,10696,11975,7493,4216,5457,1511,2893,2930,2410,3587,3588,3571
all,1976,10933,12382,7678,4440,5855,1660,2899,2935,2416,3593,3593,3602
all,1977,10855,12270,7670,4433,5815,1703,2906,2944,2363,3517,3511,3605
all,1978,10650,12011,7526,4416,5751,1692,2832,2863,2367,3401,3397,3467
all,1979,10204,11505,7191,4224,5496,1638,2728,2758,2281,3252,3251,3271
all,1980,10097,11393,7261,4195,5465,1712,2722,2754,2294,3179,3174,3255
all,1981,10457,11840,7419,4365,5716,1767,2847,2881,2375,3245,3243,3277
all,1982,11139,12660,7797,4672,6147,1939,3056,3097,2510,3411,3416,3349
all,1983,11547,13154,7909,4940,6494,2024,3173,3220,2539,3434,3440,3347
all,1984,12166,13760,8478,5294,6846,2190,3379,3419,2820,3494,3495,3468
all,1985,12660,14265,8726,5653,7216,2303,3468,3511,2869,3539,3538,3555
all,1986,13199,15121,8355,5862,7713,2275,3562,3617,2622,3775,3792,3458
all,1987,13377,15270,7944,5984,7793,1970,3622,3691,2476,3771,3786,3498
all,1988,13657,15651,8315,6184,8080,2279,3664,3744,2524,3808,3827,3511
all,1989,13787,16018,8229,6306,8441,2172,3638,3720,2454,3843,3857,3604
all,1990,13819,16009,8277,6352,8443,2290,3671,3752,2490,3795,3814,3497
all,1991,14441,16810,8350,6704,8949,2427,3824,3920,2470,3913,3941,3454
all,1992,14747,17329,8326,6960,9403,2524,3836,3940,2454,3951,3987,3348
all,1993,15298,17931,8581,7382,9874,2698,3968,4071,2570,3948,3986,3313
all,1994,15573,18241,8688,7584,10108,2789,4023,4124,2617,3967,4008,3281
all,1995,16064,18856,8625,7919,10562,2779,4132,4232,2689,4013,4063,3158
all,1996,16338,19240,8688,8100,10859,2738,4198,4298,2702,4040,4083,3247
all,1997,16718,19664,9053,8291,11073,2955,4262,4372,2786,4165,4219,3312
all,1998,17270,20377,9069,8592,11523,2957,4383,4500,2770,4294,4354,3342
all,1999,17376,20572,9028,8699,11729,2878,4474,4582,2951,4202,4262,3199
all,2000,17428,20815,8805,8661,11874,2735,4545,4659,2868,4222,4282,3201
all,2001,18012,21587,9050,8937,12323,2848,4718,4843,2925,4357,4421,3276
all,2002,18605,22361,9682,9295,12867,2948,4923,5054,3217,4386,4441,3518
