year,sex,name,n,rank,nation
1996,F,Sophie,7087,1,England & Wales
1996,M,Jack,10779,1,England & Wales
1996,F,Chloe,6824,2,England & Wales
1996,M,Daniel,10338,2,England & Wales
1996,F,Jessica,6711,3,England & Wales
1996,M,Thomas,9603,3,England & Wales
1996,F,Emily,6415,4,England & Wales
1996,M,James,9385,4,England & Wales
1996,F,Lauren,6299,5,England & Wales
1996,M,Joshua,7887,5,England & Wales
1996,F,Hannah,5916,6,England & Wales
1996,M,Matthew,7426,6,England & Wales
1996,F,Charlotte,5866,7,England & Wales
1996,M,Ryan,6496,7,England & Wales
1996,F,Rebecca,5828,8,England & Wales
1996,M,Joseph,6193,8,England & Wales
1996,F,Amy,5206,9,England & Wales
1996,M,Samuel,6161,9,England & Wales
1996,F,Megan,4948,10,England & Wales
1996,M,Liam,5802,10,England & Wales
1996,F,Shannon,4649,11,England & Wales
1996,M,Jordan,5750,11,England & Wales
1996,F,Katie,4337,12,England & Wales
1996,M,Luke,5664,12,England & Wales
1996,F,Bethany,4271,13,England & Wales
1996,M,Connor,5009,13,England & Wales
1996,F,Emma,4232,14,England & Wales
1996,M,Alexander,4840,14,England & Wales
1996,F,Lucy,3753,15,England & Wales
1996,M,Benjamin,4805,15,England & Wales
1996,F,Georgia,3723,16,England & Wales
1996,M,Adam,4538,16,England & Wales
1996,F,Laura,3582,17,England & Wales
1996,M,Harry,4434,17,England & Wales
1996,F,Sarah,3111,18,England & Wales
1996,M,Jake,4331,18,England & Wales
1996,F,Jade,2750,19,England & Wales
1996,M,George,4287,19,England & Wales
1996,F,Danielle,2641,20,England & Wales
1996,M,Callum,4281,20,England & Wales
1996,F,Abigail,2595,21,England & Wales
1996,M,William,4269,21,England & Wales
1996,F,Eleanor,2555,22,England & Wales
1996,M,Michael,4187,22,England & Wales
1996,F,Holly,2498,23,England & Wales
1996,M,Oliver,3655,23,England & Wales
1996,F,Olivia,2456,24,England & Wales
1996,M,Lewis,3569,24,England & Wales
1996,F,Alice,2357,25,England & Wales
1996,M,Christopher,3483,25,England & Wales
1996,F,Elizabeth,2225,26,England & Wales
1996,M,Kieran,2882,26,England & Wales
