Word,Prop_known,N_obs,Prevalence,Freq_US,Prevalence_UK,Prevalence_US,Prevalence_Male,Prevalence_Female
a,0.98,438,1.917,7.309,1.63,2.05,2.34,2.37
aardvark,0.96,434,1.684,2.634,1.79,1.65,1.77,1.52
aardwolf,0.21,428,-0.788,1.292,-0.63,-0.85,-0.67,-0.98
abaca,0.24,396,-0.706,1.593,-0.94,-0.61,-0.89,-0.68
aback,0.86,343,1.077,2.496,0.99,1.11,0.89,1.07
abacus,0.93,401,1.428,2.406,1.76,1.33,1.36,1.29
abaft,0.19,363,-0.876,1.769,-0.76,-0.93,-0.72,-0.95
abalone,0.69,383,0.496,2.723,0.25,0.58,0.32,0.63
abandon,1.00,378,2.427,3.909,2.58,2.38,2.29,2.58
abandoned,1.00,401,2.576,4.124,2.58,2.58,2.58,2.58
abandonee,0.66,362,0.409,1.292,0.33,0.44,0.40,0.38
abandoner,0.86,404,1.081,1.593,0.96,1.13,1.08,1.02
abandonment,0.99,419,2.185,2.991,2.19,2.18,2.36,2.24
abase,0.75,420,0.667,1.894,0.39,0.77,0.58,0.72
abased,0.79,370,0.784,1.292,0.55,0.90,0.67,0.85
abasement,0.81,408,0.871,1.292,0.74,0.93,0.89,0.77
abash,0.89,462,1.193,1.292,0.95,1.30,1.00,1.15
abashed,0.94,391,1.528,1.292,1.28,1.69,1.33,1.58
abashedly,0.86,254,1.074,1.292,0.78,1.23,1.06,0.87
abashment,0.79,393,0.810,1.292,0.76,0.83,0.78,0.84
abatable,0.72,395,0.573,1.292,0.49,0.60,0.44,0.52
abate,0.93,386,1.427,2.070,1.26,1.52,1.20,1.42
abatement,0.89,407,1.191,1.894,1.17,1.20,0.96,1.13
abattoir,0.59,396,0.221,2.195,1.38,-0.11,0.27,0.16
abbacy,0.19,413,-0.879,1.292,-1.02,-0.83,-0.91,-0.97
abbatial,0.19,401,-0.877,1.292,-0.85,-0.88,-0.96,-0.83
abbe,0.19,410,-0.883,1.769,-0.97,-0.84,-0.88,-1.08
abbess,0.52,414,0.060,1.769,0.12,0.04,-0.18,0.13
abbey,0.95,386,1.610,3.504,2.58,1.46,1.68,1.56
abbot,0.81,422,0.877,2.935,1.34,0.76,0.75,0.86
abbotship,0.42,368,-0.211,1.292,-0.04,-0.27,-0.03,-0.18
abbreviate,0.99,402,2.174,1.593,2.21,2.16,2.05,2.36
abbreviated,0.99,382,2.320,2.522,2.58,2.26,2.07,2.23
