Word,Valence,Arousal,Dominance,Frequency
aardvark,6.26,2.41,4.27,21
abandon,2.84,3.73,3.32,413
abandonment,2.63,4.95,2.64,49
abdomen,5.43,3.68,5.15,171
abdominal,4.48,3.5,5.32,174
abduct,2.42,5.9,2.75,36
abduction,2.05,5.33,3.02,185
abide,5.52,3.26,5.33,138
abiding,5.57,3.59,6.6,25
ability,7,4.85,6.55,980
abject,4,3.94,4.35,20
ablaze,5.15,6.75,4.58,21
able,6.64,3.38,6.17,8155
abnormal,3.53,4.48,4.7,148
abnormality,3.05,5,3.96,26
abode,5.28,2.9,5.05,33
abolish,3.84,4.18,4.65,24
abominable,4.05,5.45,4.62,32
abomination,2.5,5.9,3.8,58
abort,3.1,5.8,3.38,235
abortion,2.58,5.43,4.73,369
abracadabra,5.11,5.27,4.96,53
abrasive,4.26,6.1,4.94,23
abreast,4.62,4.61,5.19,26
abrupt,3.28,5.23,3.75,58
abscess,2.79,4,3.95,25
absence,3.86,4.3,4.24,322
absent,4.1,3.72,4.21,131
absinthe,3.53,3.7,3.95,28
absolute,5.43,3.48,5.58,577
absolution,6.58,3.38,5.75,48
absolve,4.58,3.53,4.82,29
absorb,5.5,4.27,5.62,101
abstain,4.4,3.1,6.08,26
abstinence,3.43,3.15,5.64,45
abstract,5.25,3.96,5.53,111
absurd,4.45,4.02,5.06,495
absurdity,4.06,4.7,5.37,32
abundance,6.67,4.72,5.66,45
abundant,7.55,4.21,5.81,29
abuse,1.53,6.21,2.9,523
abusive,2.05,5.27,3.58,83
abyss,3.9,4.85,4,90
academic,6.61,3.32,6.21,238
academy,5.32,3.77,5.38,633
accelerant,4.59,4.81,6.04,28
accelerate,6.1,6.04,6.15,65
accelerated,6.21,4.75,6.29,49
acceleration,6.19,6.73,5.76,44
accelerator,5.63,5,6.65,69
accent,6.48,4.95,5.36,621
accept,6.39,2.8,5.94,2692
acceptable,6.59,3.65,6.58,269
acceptance,6.84,4.3,6.49,161
access,6.68,5.3,6.89,1615
accessible,6.68,3.2,6.58,56
accessory,5.35,4.22,5.83,147
accident,2.55,4.93,3,4146
accidental,3.46,4,3.41,153
acclaim,6.1,3.95,5.77,22
accommodate,6.35,3,6.27,109
accommodation,6.76,4.72,6,48
accompany,5.47,3.85,5.63,242
accomplice,4.6,4.5,5.2,216
accomplish,7.45,5.16,7.27,298
accomplishment,8.05,4.96,6.5,96
accord,6.38,2.85,5.64,83
accordion,5.26,2.94,5.21,67
account,5.39,3.76,5.06,2280
accountability,4.89,3.7,6.55,24
accountable,5.7,4.2,5.57,72
accountant,5.19,3.81,5.72,315
accounting,4.42,3.68,4.48,230
accumulate,6.33,2.73,6.15,29
accuracy,6.32,3.33,6.74,76
accurate,7.42,4.35,6.47,400
accursed,3.21,5.33,4.13,33
accusation,3.38,5.48,3.62,143
accuse,2.68,5.32,4,290
ace,6.37,4.64,6.61,751
acetylene,4.11,3.67,4.7,23
ache,3.27,4.3,4,127
achieve,7.75,4.7,6.61,374
achievement,7.28,5.57,7.17,178
achy,3.15,4.48,4.62,23
acid,3.26,4.77,4.26,508
acknowledge,6.43,3.26,6.11,313
acknowledgement,6.53,3.3,6.71,21
acne,2.18,4.47,3.44,46
acorn,5.85,4.42,4.77,37
acoustic,7.1,4,5.79,49
acoustics,6.33,3.19,5.86,22
acquaintance,5.58,3.24,5.29,273
acquire,5.5,4.86,7,135
acquisition,5,4.36,5.93,74
acquit,5.6,4.56,5.45,24
acquittal,6.19,4.95,5.03,37
acre,5.53,2.73,4.94,93
acrobat,6,4.9,5.42,30
acrylic,5.52,3.73,5.42,23
act,5.64,4.19,6.11,5565
action,6,6.19,6.17,3115
activate,5.7,3.78,6.28,238
activation,6.14,3.52,6.88,43
active,6.47,5.62,6.32,584
activist,6.24,5.26,5.86,50
activity,6.21,4.86,6.45,657
actor,6.15,4.35,5.64,1343
actress,5.42,5.43,4.65,817
actual,6.22,2.75,5.54,884
actuality,5.4,5.55,5.24,24
acupuncture,4.81,4.9,4.77,37
acute,5.1,5.09,5.11,150
ad,4.11,3.33,5.18,694
adage,5.55,3.38,5.13,32
adamant,5.45,5.74,6.38,50
adapt,5.84,3.9,5.75,134
adaptation,5.82,3.55,6.04,81
add,6.23,4,6.79,1686
addict,2.86,5.33,2.74,273
addicted,2.89,4.77,2.84,231
addiction,3.52,4.48,3.84,199
addictive,3.52,4.82,4.4,57
additional,6.15,3.61,4.95,300
address,6.11,3.05,4.89,2666
adept,6.14,4.17,6.5,33
adequate,4.7,3.64,6.89,132
adhere,5.17,3.52,3.9,29
adhesive,5.84,3.2,4.88,47
adjacent,5.15,2.78,4.27,68
adjective,5.95,3.64,6.11,25
adjoining,5.06,3.52,4.65,57
adjourn,5.5,3.15,5.75,66
adjust,5.76,3,6,287
adjuster,4.25,3.5,5.84,20
adjustment,5.53,4.59,4.53,158
admin,4.37,3.64,5.83,22
administer,4.4,3.86,6.33,85
administration,4.45,3.23,4.77,387
administrative,4.79,3.21,5.9,82
administrator,5.32,4.74,5.48,84
admirable,7,4.57,5.81,133
admiral,4.8,4.05,5.68,845
admiration,7.58,5.52,6.11,107
admire,7.35,5,7.33,722
admired,7.25,5.95,6.94,187
admirer,7.05,6,6.27,151
admissible,5.16,2.9,6.21,37
admission,5.91,3.69,5.54,181
admit,5.56,3.35,4.56,3019
admittance,6.29,3.6,5.96,34
adobe,5.25,3.89,5.55,24
adolescence,6,5.1,4.44,44
adolescent,5.38,4.2,4,94
adopt,6.9,4.71,5.45,238
adoption,6.68,4.82,5.62,239
adoptive,5.67,4.4,5.59,30
adorable,7.4,4.66,6.83,537
adoration,6.47,4.36,6.54,30
adore,7.37,5.96,6.26,394
adoring,7.38,4.86,6.29,35
adrenalin,6.33,5.05,4.85,28
adrenaline,6.61,5.95,5.72,168
adrift,4.36,3.19,4.09,51
adult,5.9,4.36,6.46,729
adulterer,2.77,5.68,3.2,20
adultery,2.81,6.42,3.33,99
adulthood,5.05,4.28,6.11,37
advance,6.11,4.62,6.12,815
advanced,6.14,3.83,6.96,451
advancement,7.47,5.81,6.38,63
advantage,6.71,3.95,7.19,1125
advantageous,6.79,5.7,6.22,20
adventure,7.4,6.36,6.36,685
adventurer,7,5.27,5.83,37
adventurous,7.37,6.67,5.71,62
adversary,4.55,4.41,5,77
adverse,3.68,3.89,3.35,36
adversity,4.26,3.82,4.63,54
advertise,5.16,4.29,5.74,84
advertisement,4.3,4.14,5.84,61
advertising,4.68,3.25,5,379
advice,5.78,3.05,5.83,2447
advisable,5.62,4.36,5.86,40
advise,5.44,3.38,6.41,622
advisement,4.55,4.04,5.92,39
adviser,5.68,3.36,6.18,53
advisor,4.74,3.19,5.7,225
advisory,4.95,4.05,4.19,51
advocate,5.25,4.59,7.26,113
aerial,6.04,3.67,5.17,129
aerobics,6,5.1,5.7,79
aerodynamic,6.16,4.33,5.1,22
aerospace,5.79,4.52,5.17,55
aesthetic,5.43,2.88,5.5,34
affair,3.1,5.4,5.89,1502
affect,5.65,3.61,6.39,568
affection,7.89,5.64,6.6,431
affectionate,7.23,4.77,6.9,115
affidavit,4.38,3.73,4.04,100
affiliation,5.32,3.9,5.3,25
affirmation,5.95,3.95,6.53,27
affirmative,5.94,3.64,6.78,241
affliction,3.76,5.1,4.17,60
afford,6.56,4.33,6.44,2266
affordable,7.52,4.11,6.16,33
affront,4.53,4.5,5.04,30
