Label,Attractiveness,Prestige,Year
Accent identical to own,4.87,4.14,2004
Afro-Caribbean,3.72,2.9,2004
Asian/Indian,3.21,2.74,2004
Australian,4.04,3.51,2004
Belfast,3.67,3.11,2004
Birmingham,2.92,2.7,2004
Black Country,3.16,2.81,2004
Bristol,3.64,3.22,2004
Cardiff,3.67,3.16,2004
Cornish,4.22,3.38,2004
Edinburgh,4.49,4.04,2004
French,4.09,3.74,2004
German,3.2,3.21,2004
Glasgow,3.45,2.93,2004
Lancashire,3.9,3.24,2004
Leeds,3.73,3.15,2004
Liverpool,3.4,2.82,2004
London,3.7,3.89,2004
Manchester,3.61,3.22,2004
New Zealand,4.37,3.84,2004
Newcastle,4.13,3.21,2004
North American,3.9,3.8,2004
Northern Irish,4.05,3.3,2004
Norwich,3.81,3.38,2004
Nottingham,3.78,3.39,2004
Queen’s English,4.28,5.59,2004
Scottish,4.52,3.98,2004
South African,3.51,3.34,2004
Southern Irish,4.68,3.63,2004
Spanish,3.88,3.29,2004
Standard English,4.96,5.44,2004
Swansea,3.64,3.11,2004
Welsh,3.95,3.29,2004
West Country,4.16,3.36,2004
