latitude,longitude,name
50.027955,-5.242824,The Old Inn
50.070592,-5.695169,First And Last Inn
50.075586,-5.709187,Irish Lady
50.106483,-5.38336,Pengersick Castle
50.115869000000004,-5.530951,Dolphin Tavern
50.116591,-5.529477,South Pier
50.11686,-5.477567,St Michaels Mount
50.116994,-5.534321,Chapel Street
50.117095,-5.534339,Admiral Benbow
50.117221,-5.532345,Dry Dock
50.117356,-5.534793,Turks Head Inn
50.117901,-5.535984,The Union Hotel
50.118008,-5.537053,Cooperative Store
50.124709,-5.678844,St Just Church
50.13801,-5.359182,Godolphin House
50.1392028,-5.656858,Carn Kenidjack
50.144792,-5.493345,Ludgvan Churchyard
50.146111,-5.046567,Pendennis Castle
50.148531,-5.057514,The Falmouth Hotel
50.161028,-5.540222,Chysauster Ancient Village
50.16196,-5.66471,Pendeen Vau
50.173509,-5.476994,Trencrom Hill
50.178797,-5.509021,Cripplesease Mine
50.183489,-5.42129,White Hart Hotel
50.191535,-5.567737,The Tinners Arms
50.191713,-5.567752,The White House
50.193606,-5.292956,Treslothan Chapel
50.195401,-5.413986,The Bucket of Blood
50.195469,-5.577184,Mermaid Cove
50.195822,-5.481455,Knills Monument
50.19716,-5.496206,Halsetown Inn
50.2107,-5.3253,Polstrong House
50.211096,-5.479072,Harbour View House
50.211303,-5.47958,Skidden Hill
50.211335,-5.479529,The Tide House
50.21154,-5.478764,St Ives Art Club
50.212017,-5.480716,Dead Mans Walk
50.212095,-5.481124,Oates Travel
50.212204,-5.480848,Boots the Chemist
50.212895,-5.480949,Richmond Lane
50.213143,-5.480337,Natural Balance Surf Co
50.213205,-5.480445,The Castle Inn
50.214423,-5.480391,Joules of St Ives Women
50.214538,-5.482042,Porth Glas
50.214791,-5.481152,Salubrious Terrace
50.214843,-5.482465,Tate St Ives
50.215503,-5.478805,The Oldest House
50.215686,-5.477959,Cornerways Guest House
50.215803,-5.482139,Porthmeor Beach
50.21622,-5.315831,Cornish Choughs Inn
50.217105,-5.476465,Porthgwidden Beach
50.217171,-5.028188,Quay Cottage
50.2172,-5.2804,Dolcoath Mine
50.217661,-5.478098,The Island
50.218275,-5.478394,St Nicholas Chapel
50.237637,-5.361974,Hells Mouth
50.260211,-5.291549,Basset Arms
50.26134,-5.291105,The Waterfront Inn
50.262608,-5.291592,Dead Mans Hut
50.262969,-5.054574,The William IV inn
50.263802,-5.055684,The Wig and Pen
50.263967,-5.0522,Pandora
50.270809,-5.269254,RAF Portreath
50.27975,-3.899735,Burgh Island
50.280486,-3.898258,The Pilchard Inn
50.283797,-4.810071,The Lost Gardens Of Heligan
50.305295,-5.233163,Wheal Coates
50.309317,-5.20331,The Railway Inn
50.31198,-5.169439,The Miners Arms
50.330542,-4.516614,Willy Wilcox Cave
50.331102,-4.517886,The Three Pilchards
50.336006,-4.523372,Crumplehorn Inn and Mill
50.337151,-4.45085,Looe Island
50.341762,-3.56579,Dartmouth Castle
50.342256,-4.787834,St Austell Brewery
50.351582,-3.578508,Royal Castle Hotel
50.352905,-4.456812,The Jolly Sailor Inn
50.35984,-4.167206,Devils Point
50.36181,-4.163427,Royal William Yard
50.364565,-4.142849,Plymouth Hoe
50.364964,-4.299209,Finnygook Inn
50.366118,-4.134224,The Admiral MacBride
50.366707,-4.126917,The Fareham Inn
50.366851,-4.135038,Elizabethan House
50.366877,-4.135511,Tudor Rose Tearoom
50.366887,-4.135344,Chris Robinsons Plymouth
50.367031,-4.135598,Kapadokya Restaurant
50.367302,-4.144376,Poppys Guest House
50.36777,-4.137798,Plymouth Gin
50.369057,-4.145416,The Old Reel Cinema
50.369088,-4.145404,Reel Cinema
50.369591,-4.136494,The Minerva
50.369703,-4.140581,Treasury Cafe Bar
50.372411,-5.110307,Smugglers Den
50.373515,-4.154348,4 Wyndham Square
50.376109,-4.13865,Mary Newman Hall of Residence
